day,LA_high,LA_low,LA_precip,LA_snow,LA_snow_depth,Boston_high,Boston_low,Boston_precip,Boston_snow,
7 oct 2017,91,71.1,0,0,0,75.9,60.1,0,0,-
8 oct 2017,81,59,0,0,0,75,68,0.11,0,-
9 oct 2017,86,61,0,0,0,75,66.9,0.27,0,-
10 oct 2017,82.9,61,0,0,0,79,64.9,0,0,-
11 oct 2017,75,57.9,0,0,0,68,57,0.01,0,-
12 oct 2017,69.1,57.9,0,0,0,57.9,48,T,0,-
13 oct 2017,71.1,57,0,0,0,62.1,46.9,0,0,-
14 oct 2017,84,59,0,0,0,64,57,0.1,0,-
15 oct 2017,97,64,0,0,0,75,59,0,0,-
16 oct 2017,95,71.1,0,0,0,70,44.1,0,0,-
17 oct 2017,89.1,71.1,0,0,0,57.9,39.9,0,0,-
18 oct 2017,82.9,66,0,0,0,72,46.9,0,0,-
19 oct 2017,75.9,62.1,0,0,0,73.9,52,0,0,-
20 oct 2017,73.9,62.1,0,0,0,71.1,57.9,0,0,-
21 oct 2017,75,57.9,0,0,0,78.1,51.1,0,0,-
22 oct 2017,89.1,69.1,0,0,0,66,54,0,0,-
23 oct 2017,100,73,0,0,0,64,54,0,0,-
24 oct 2017,100.9,84,0,0,0,75,62.1,0.07,0,-
25 oct 2017,100,77,0,0,0,70,57.9,1.29,0,-
26 oct 2017,91,69.1,0,0,0,62.1,48.9,0.35,0,-
27 oct 2017,82,64.9,0,0,0,62.1,46.9,0,0,-
28 oct 2017,77,55,0,0,0,66.9,46,0,0,-
29 oct 2017,69.1,57.9,0,0,0,61,55.9,1,0,-
30 oct 2017,66.9,63,0,0,0,64.9,51.1,0.94,0,-
31 oct 2017,66.9,62.1,0.01,0,0,57.9,46,0,0,-
1 nov 2017,69.1,62.1,0,0,0,53.1,41,0,0,-
2 nov 2017,68,57.9,0.02,0,0,71.1,52,0,0,-
3 nov 2017,69.1,57.9,0,0,0,75,51.1,0.01,0,-
4 nov 2017,69.1,55.9,0,0,0,52,43,0,0,-
5 nov 2017,68,59,0.07,0,0,60.1,50,T,0,-
6 nov 2017,70,55.9,0,0,0,64,50,0.08,0,-
7 nov 2017,75,57.9,0,0,0,50,37,0.13,0,-
8 nov 2017,73.9,57.9,0,0,0,45,37,0.03,0,-
9 nov 2017,72,57,0,0,0,48,34,0,0,-
10 nov 2017,69.1,55.9,0,0,0,48.9,24.3,0.02,0,-
11 nov 2017,70,54,0,0,0,37,23.2,0,0,-
12 nov 2017,70,55,0,0,0,44.1,29.1,0,0,-
13 nov 2017,72,55,0,0,0,43,37,0.13,0,-
14 nov 2017,73.9,55,0,0,0,44.1,37,T,0,-
15 nov 2017,78.1,59,0,0,0,44.1,34,0,0,-
16 nov 2017,78.1,61,0,0,0,50,37.9,0.19,0,-
17 nov 2017,73.9,62.1,0.02,0,0,44.1,34,0,0,-
18 nov 2017,78.1,55.9,0,0,0,52,30.2,0.09,0,-
19 nov 2017,75.9,62.1,0,0,0,60.1,37.9,0.23,0,-
20 nov 2017,73,55.9,0,0,0,42.1,35.1,T,T,-
21 nov 2017,87.1,61,0,0,0,59,35.1,0,0,-
22 nov 2017,95,73.9,0,0,0,52,37.9,0.89,0,-
23 nov 2017,93.9,75.9,0,0,0,43,32,0,0,-
24 nov 2017,84,66.9,0,0,0,50,31.1,0,0,-
25 nov 2017,82.9,64.9,0,0,0,57.9,37.9,0,0,-
26 nov 2017,73,54,0,0,0,51.1,37,0,0,-
27 nov 2017,68,57,T,0,0,46.9,27.1,0,0,-
28 nov 2017,75,51.1,0,0,0,46.9,22.1,0,0,-
29 nov 2017,75.9,54,0,0,0,61,37.9,0,0,-
30 nov 2017,75.9,53.1,0,0,0,45,30.2,0,0,-
1 dec 2017,-,-,-,-,-,51.1,37.9,0.09,-,-
2 dec 2017,-,-,-,-,-,43,34,0,-,-
3 dec 2017,66.9,53.1,0,0,0,44.1,34,0,-,-
4 dec 2017,70,51.1,0,0,0,43,33.1,0,-,-
5 dec 2017,70,57.9,0,0,0,59,37.9,0.08,-,-
6 dec 2017,75,54,0,0,0,57.9,36,0.46,-,-
7 dec 2017,80.1,64,0,0,0,46.9,33.1,0,-,-
8 dec 2017,-,-,-,-,-,39,31.1,0,-,-
9 dec 2017,84,61,0,0,0,37,31.1,0.66,-,-
10 dec 2017,82.9,64.9,0,0,0,37.9,31.1,0.01,-,-
11 dec 2017,84.9,66.9,0,0,0,39,32,0,-,-
12 dec 2017,84,64.9,0,0,0,46,33.1,0.04,-,-
13 dec 2017,82,63,0,0,0,36,22.1,0,-,-
14 dec 2017,77,53.1,0,0,0,30.2,19.2,T,-,-
15 dec 2017,-,-,-,-,-,27.1,17.2,T,-,-
16 dec 2017,70,54,0,0,0,34,22.1,0,-,-
17 dec 2017,69.1,54,0,0,0,31.1,20.1,0,-,-
18 dec 2017,73,57,0,0,0,37.9,22.1,T,-,-
19 dec 2017,68,50,0,0,0,51.1,34,0,-,-
20 dec 2017,62.1,48.9,0,0,0,46.9,31.1,0,-,-
21 dec 2017,62.1,48,0,0,0,33.1,26.2,0,-,-
22 dec 2017,-,-,-,-,-,37.9,23.2,0.1,-,-
23 dec 2017,-,-,-,-,-,43,25.2,0.58,-,-
24 dec 2017,-,-,-,-,-,39,32,0,-,-
25 dec 2017,-,-,-,-,-,37.9,23.2,0.44,-,-
26 dec 2017,-,-,-,-,-,27.1,19.2,0,-,-
27 dec 2017,-,-,-,-,-,20.1,12.2,0,-,-
28 dec 2017,-,-,-,-,-,12.2,5.2,0,-,-
29 dec 2017,-,-,-,-,-,14.2,2.1,0,-,-
30 dec 2017,-,-,-,-,-,18.1,6.3,0.01,-,-
31 dec 2017,69.1,51.1,0,0,0,13.1,4.1,0,-,-
